Task;M1Time;M2Time;M3Time
task1;3;7;15
task2;2;9;14
task3;13;10;13
task4;1;8;17
task5;4;9;10
task6;10;7;10
task7;4;1;15
task8;15;10;17
task9;22;8;12
task10;20;8;13
task11;3;7;15
task12;2;9;14
task13;13;10;13
task14;1;8;17
task15;4;9;10
task16;10;7;10
task17;4;1;15
task18;15;10;17
task19;3;7;15
task20;2;9;14
task21;13;10;13
task22;1;8;17
task23;4;9;10
task24;10;7;10
task25;4;1;15
task26;15;10;17
task27;22;8;12
task28;20;8;13
task29;3;7;15
task30;2;9;14
task31;13;10;13
task32;1;8;17
task33;4;9;10
task34;10;7;10
task35;4;1;15
task36;15;10;17
task37;22;8;12
task38;20;8;13
task39;3;7;15
task40;2;9;14
task41;13;10;13
task42;1;8;17
task43;4;9;10
task44;10;7;10
task45;4;1;15
task46;15;10;17
task47;22;8;12
task48;20;8;13
task49;3;7;15
task50;2;9;14
task51;13;10;13
task52;1;8;17
task53;4;9;10
task54;10;7;10
task55;4;1;15
task56;15;10;17
task57;22;8;12
task58;20;8;13
task59;3;7;15
task60;2;9;14
task61;13;10;13
task62;1;8;17
task63;4;9;10
task64;10;7;10
task65;4;1;15
task66;15;10;17
task67;22;8;12
task68;20;8;13
task69;3;7;15
task70;2;9;14
task71;13;10;13
task72;1;8;17
task73;4;9;10
task74;10;7;10
task75;4;1;15
task76;15;10;17
task77;22;8;12
task78;20;8;13
task79;3;7;15
task80;2;9;14
task81;13;10;13
task82;1;8;17
task83;4;9;10
task84;10;7;10
task85;4;1;15
task86;15;10;17
task87;22;8;12
task88;20;8;13
task89;3;7;15
task90;2;9;14
task91;13;10;13
task92;1;8;17
task93;4;9;10
task94;10;7;10
task95;4;1;15
task96;15;10;17
task97;22;8;12
task98;20;8;13
task99;3;7;15
task100;2;9;14
task101;13;10;13
task102;1;8;17
task103;4;9;10
task104;10;7;10
task105;4;1;15
task106;15;10;17
task107;22;8;12
task108;20;8;13
task109;3;7;15
task110;2;9;14
task111;13;10;13
task112;1;8;17
task113;4;9;10
task114;10;7;10
task115;4;1;15
task116;15;10;17
task117;22;8;12
task118;20;8;13
task119;3;7;15
task120;2;9;14
task121;13;10;13
task122;1;8;17
task123;4;9;10
task124;10;7;10
task125;4;1;15
task126;15;10;17
task127;22;8;12
task128;20;8;13
task129;3;7;15
task130;2;9;14
task131;13;10;13
task132;1;8;17
task133;4;9;10
task134;10;7;10
task135;4;1;15
task136;15;10;17
task137;22;8;12
task138;20;8;13
task139;3;7;15
task140;2;9;14
task141;13;10;13
task142;1;8;17
task143;4;9;10
task144;10;7;10
task145;4;1;15
task146;15;10;17
task147;22;8;12
task148;20;8;13
task149;3;7;15
task150;2;9;14
task151;13;10;13
task152;1;8;17
task153;4;9;10
task154;10;7;10
task155;4;1;15
task156;15;10;17
task157;22;8;12
task158;20;8;13
task159;3;7;15
