Task;M1Time;M2Time;M3Time
first;3;1;5
second;2;2;4
third;13;1;3
forth;1;2;7
fifth;4;18;5
task6;7;1;24
task7;5;10;17
task8;3;6;17
task9;3;11;21
task10;6;10;16
task11;2;12;23
task12;6;8;15
task13;12;15;18
task14;1;15;23
task15;15;9;15
task16;1;10;25
task17;5;14;23
task18;3;15;23
task19;15;1;21
task20;15;5;24
task21;1;3;16
task22;15;7;17
task23;12;8;16
task24;1;8;20
task25;3;3;17
task26;3;15;22
task27;6;3;20
task28;14;9;17
task29;7;6;21
task30;10;7;15
task31;11;7;23
task32;4;3;20
task33;1;6;22
task34;4;1;15
task35;10;12;18
task36;14;12;24
task37;6;2;25
task38;1;9;16
task39;12;13;21
task40;11;14;24
task41;14;1;18
task42;2;2;22
task43;5;4;25
task44;15;3;25
task45;2;2;18
task46;13;4;22
task47;2;11;21
task48;1;12;25
task49;4;6;24
task50;1;13;17
task51;5;6;24
task52;7;8;20
task53;12;13;22
task54;4;15;22
task55;7;6;21
task56;7;6;25
task57;15;4;16
task58;2;5;21
task59;11;2;16
task60;7;15;16
task61;2;8;22
task62;8;9;24
task63;4;10;24
task64;10;4;17
task65;5;1;20
task66;4;13;23
task67;13;9;20
task68;7;4;24
task69;1;7;20
task70;4;9;16
task71;14;12;24
task72;10;1;25
task73;8;13;22
task74;13;3;17
task75;5;11;25
task76;13;5;24
task77;11;4;16
task78;15;8;20
task79;1;3;23
task80;11;12;18
task81;4;10;15
task82;9;8;15
task83;14;10;24
task84;10;12;22
task85;11;1;22
task86;11;13;17
task87;11;1;21
task88;6;4;23
task89;6;10;15
task90;3;12;22
task91;13;8;18
task92;4;11;18
task93;12;11;20
task94;8;10;25
task95;5;11;16
task96;4;14;22
task97;5;14;17
task98;11;5;20
task99;10;3;18
task100;4;7;15
